,code,Indent,text,othersFound,generality
7743,2933.33.01.00,2,"Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), carfentanil (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN), fentanyl (INN), ketobemidone (INN), methylphenidate (INN), pentazocine (INN), pethidine (INN), pethidine (INN) intermediate A, phencyclidine (INN) (PCP), phenoperidine (INN), pipradrol (INN), piritramide (INN), propiram (INN), remifentanil (INN) and trimeperidine (INN); salts thereof",1,specific
7744,2933.34.00.00,2,Other fentanyls and their derivatives,0,Low
7745,2933.35.00.00,2,3-Quinuclidinol,1,specific
7746,2933.36.00.00,2,4-Anilino-N-phenethylpiperidine (ANPP),1,specific
7747,2933.37.00.00,2,N-Phenethyl-4-piperidone (NPP),1,specific
7748,2933.39,2,Other:,0,Low
7749,2933.39.08.00,3,"1-(3-Sulfo propyl) pyridinium hydroxide;N,N'-Bis (2,2,6,6-tetra methyl-4-piperidinyl)-1,6- hexane diamine; 3,5-Dimethyl-2-hydroxy methyl-4-methoxy- pyridine (pyrmethyl alcohol); Dipenta methylene thiuram tetra sulfide; 2H-Indol-2-one,1,3-dihydro-1-phenyl-3-(4- pyridinyl methylene); 4-Picolyl chloride hydro chloride; and Piperidino ethyl chloride hydro chloride",1,specific
7750,2933.39.10.00,3,"Collidines, lutidines and picolines",1,specific
7751,2933.39.20.00,3,"p-Chloro-2-benzylpyridine; 4-Chloro-1-methylpiperidine hydrochloride; 1,4-Dimethyl-6-hydroxy-3-cyanopyrid-2-one; Di-(2,2,6,6-tetramethyl-4-hydroxy- piperidine)sebacate; 2-Methyl-5-ethylpyridine; 4-Phenylpropylpyridine; α-Phenylpyridylacetic acid, methyl ester; Picolinic acid; 2-Pyridinecarboxaldehyde; and 2,5-Pyridinedicarboxylic acid",1,specific
7752,,3,Other:,0,Low
7753,,4,Pesticides,1,specific
7754,2933.39.21.00,5,Fungicides,1,specific
7755,,5,Herbicides:,1,specific
7756,2933.39.23.00,6,o-Paraquat dichloride,1,specific
7757,2933.39.25.00,6,Other,0,Low
7758,2933.39.27.00,5,Other,0,Low
7759,,4,Drugs:,1,specific
7760,2933.39.31.00,5,"Antidepressants, tranquilizers and other psychotherapeutic agents",0,Low
7761,2933.39.41.00,5,Other,0,Low
7762,,4,Other:,0,Low
7763,2933.39.61,5,Products described in additional U.S. note 3 to section VI,1,specific
7764,2933.39.61.10,6,3-Quinuclidinyl benzilate,1,specific
7765,2933.39.61.90,6,Other,0,Low
7766,2933.39.92.00,5,Other,0,Low
7767,,1,"Compounds containing in the structure a quinoline or isoquinoline ring-system (whether or not hydrogenated), not further fused:",1,specific
7768,2933.41.00.00,2,Levorphanol (INN) and its salts,1,specific
7769,2933.49,2,Other:,0,Low
7770,2933.49.08.00,3,"4,7-Dichloroquinoline",1,specific
7771,2933.49.10.00,3,"Ethoxyquin (1,2-Dihydro-6-ethoxy-2,2,4- trimethylquinoline)",1,specific
7772,2933.49.15.00,3,8-Methylquinoline and Isoquinoline,1,specific
7773,2933.49.17.00,3,"Ethyl ethyl-6,7,8-trifluoro-1,4-dihydro-4-oxo-3- quinolinecarboxylate",1,specific
7774,,3,Other:,0,Low
7775,,4,Drugs:,1,specific
7776,2933.49.20.00,5,5-Chloro-7-iodo-8-quinolinol (Iodo chlo rhydroxy quin); Deco quinate; Diiodo hydroxy quin; and Oxy quinoline sulfate,1,specific
7777,2933.49.26.00,5,Other,0,Low
7778,2933.49.30.00,4,Pesticides,1,specific
7779,,4,Other:,0,Low
7780,2933.49.60.00,5,Products described in additional U.S. note 3 to section VI,1,specific
7781,2933.49.70.00,5,Other,0,Low
7782,,1,Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure:,1,specific
7783,2933.52,2,Malonylurea (Barbituric acid) and its salts:,1,specific
7784,2933.52.10.00,3,Malonylurea (barbituric acid),1,specific
7785,2933.52.90.00,3,Other,0,Low
7786,2933.53.00.00,2,"Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts thereof",1,specific
7787,2933.54.00.00,2,Other derivatives of malonylurea (barbituric acid); salts thereof,0,Low
7788,2933.55.00.00,2,"Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",1,specific
7789,2933.59,2,Other:,0,Low
7790,,3,Pesticides:,1,specific
7791,,4,Aromatic or modified aromatic,1,specific
7792,2933.59.10.00,5,Herbicides,1,specific
7793,2933.59.15.00,5,Other,0,Low
7794,2933.59.18.00,4,Other,0,Low
7795,,3,Drugs:,1,specific
7796,,4,Aromatic or modified aromatic:,1,specific
7797,2933.59.21.00,5,"Antihistamines, including those principally used as anti-nauseants",1,specific
7798,,5,Anti-infective agents:,1,specific
7799,2933.59.22.00,6,Nicarbazin; andTrimethoprim,1,specific
7800,2933.59.36.00,6,Other,0,Low
7801,2933.59.46.00,5,"Antidepressants, tranquilizers and other psychotherapeutic agents",0,Low
7802,2933.59.53.00,5,Other,0,Low
7803,2933.59.59.00,4,Other,0,Low
7804,,3,Other:,0,Low
7805,,4,Aromatic or modified aromatic:,1,specific
7806,2933.59.70.00,5,Products described in additional U.S. note 3 to section VI,1,specific
7807,2933.59.80.00,5,Other,0,Low
7808,,4,Other:,0,Low
7809,2933.59.85.00,5,"2-Amino-4-chloro-6-methoxy pyrimidine; 2-Amino-4,6-di methoxy pyrimidine; and 6-Methyl uracil",1,specific
7810,2933.59.95.00,5,Other,0,Low
7811,,1,Compounds containing an unfused triazine ring (whether or not hydrogenated) in the structure:,1,specific
7812,2933.61.00.00,2,Melamine,1,specific
7813,2933.69,2,Other:,0,Low
7814,2933.69.20.00,3,"2,4-Diamino-6-phenyl-1,3,5-triazine",1,specific
7815,2933.69.50.00,3,Hexamethylenetetramine,1,specific
7816,2933.69.60,3,Other,0,Low
7817,2933.69.60.10,4,Cyanuric chloride,1,specific
7818,,4,Pesticides:,1,specific
7819,2933.69.60.15,5,Sodium dichloroisocyanurate and trichloroisocyanuric acid,1,specific
7820,2933.69.60.21,5,Other,0,Low
7821,2933.69.60.30,4,Products used principally for rubber processing,1,specific
7822,2933.69.60.50,4,Other,0,Low
7823,,1,Lactams:,1,specific
7824,2933.71.00.00,2,6-Hexanelactam (ε-Caprolactam),1,specific
7825,2933.72.00.00,2,Clobazam (INN) and methyprylon (INN),1,specific
7826,2933.79,2,Other lactams:,0,Low
7827,,3,Aromatic or modified aromatic:,1,specific
7828,2933.79.04.00,4,"2,5-Dihydro-3,6-diphenylpyrrolo-(3,4-c)- pyrrole-1,4-dione",1,specific
7829,,4,Other:,0,Low
7830,2933.79.08.00,5,Products described in additional U.S. note 3 to section VI,1,specific
7831,2933.79.15.00,5,Other,0,Low
7832,,3,Other:,0,Low
7833,2933.79.20.00,4,N-Methyl-2-pyrrolidone; and 2-Pyrrolidone,1,specific
7834,2933.79.30.00,4,"N-Vinyl-2-pyrrolidone, monomer",1,specific
7835,2933.79.40.00,4,12-Aminododecanoic acid lactam,1,specific
7836,2933.79.85.00,4,Other,0,Low
7837,,1,Other:,0,Low
7838,2933.91.00.00,2,"Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), lorazepam (INN), lormetazepam (INN), mazindol (INN), medazepam (INN), midazolam (INN), nimetazepam (INN), nitrazepam (INN), nordazepam (INN), oxazepam (INN), pinazepam (INN), prazepam (INN), pyrovalerone (INN), temazepam (INN), tetrazepam (INN) and triazolam (INN); salts thereof",1,specific
7839,2933.92.00.00,2,Azinphos-methyl,1,specific
7840,2933.99,2,Other:,0,Low
7841,,3,Aromatic or modified aromatic:,1,specific
7842,2933.99.01.00,4,Butyl (R)-2-[4-(5-trifluoromethyl-2- pyridinyloxy)phenoxy]propanoate,1,specific
7843,2933.99.02.00,4,"2-[4-[(6-Chloro-2-quinoxalinyl)oxy]phenoxy]- propionic acid, ethyl ester",1,specific
7844,2933.99.05.00,4,Acridine and indole,1,specific
7845,2933.99.06.00,4,"α-Butyl-α-(4-chlorophenyl)-1H-1,2,4- triazole-1- propanenitrile (Myclobutanil); andα-[2-(4-Chlorophenyl)ethyl]-α-phenyl-1H- 1,2,4-triazole-1-propanenitrile (Fenbuconazole)",1,specific
7846,2933.99.08.00,4,"Aceto acetyl-5-amino benz imidazolone; 3-(2H-Benzo triazol-2-yl)-5-(tert-butyl)-4- hydroxy benzene propanoic acid, C7-C9 branched or linear alkyl esters; 2-(2H-Benzotriazol-2-yl)-6-dodecyl-4- methyl phenol, in liquid form, branched and linear; and 1,3,3-Trimethyl-2-methyleneindoline",1,specific
7847,2933.99.11.00,4,Carbazole,1,specific
7848,2933.99.12.00,4,"6-Bromo-5-methyl-1H-imidazo[4,5-b]- pyridine; 2-sec-Butyl-4-tert-butyl-6-(benzotriazol-2- yl)phenol; 2-tert-Butyl-4-methyl-6-(5-chlorobenzotri- azol-2-yl)phenol; 2,4-Di-tert-butyl-6-(benzotriazol-2-yl)phenol; 2,4-Di-tert-butyl-6-(5-chlorobenzotriazol-2- yl)phenol; 2,3-Dichloro-6-quinoxalinecarbonyl chloride; 1-Hydroxy-2-carbazolecarboxylic acid; 2-Hydroxy-3-carbazolecarboxylic acid; 2-Hydroxy-3-carbazolecarboxylic acid, sodium salt;Iminodibenzyl(10,11-dihydro-5H-dibenz- [b,f]azepine); Indoline; 3-Methylbenzo[f]quinoline; 2-Methylindoline; 2-Methylmercaptobenzimidazole; 1-Methyl-2-phenylindole;1-Methylpyrazine; 2,4-Methylpyrazolic acid; 2-Phenylbenzimidazole; 2-Phenylindole; Tetramethylpyrazine; 2,3,5-Triphenyltetrazolium chloride;dl-Tryptophan; and Vinylcarbazole, monomer",1,specific
7849,,4,Other:,0,Low
7850,,5,Pesticides:,1,specific
7851,2933.99.14.00,6,5-Amino-4-chloro-α-phenyl-3- pyridazinone,1,specific
7852,2933.99.16.00,6,"o-Diquat dibromide (1,1'-Ethylene- 2,2'-dipyridylium dibromide)",1,specific
7853,,6,Other:,0,Low
7854,2933.99.17.01,7,Insecticides,1,specific
7855,2933.99.22.00,7,Other,0,Low
7856,2933.99.24.00,5,Photographic chemicals,1,specific
7857,,5,Drugs:,1,specific
7858,2933.99.26.00,6,Antihistamines,1,specific
7859,,6,Anti-infective agents:,1,specific
7860,2933.99.42.00,7,Acriflavine; Acriflavine hydrochloride;Carbadox; and Pyrazinamide,1,specific
7861,2933.99.46.00,7,Other,0,Low
7862,,6,Cardiovascular drugs:,1,specific
7863,2933.99.51.00,7,Hydralazine hydrochloride,1,specific
7864,2933.99.53.00,7,Other,0,Low
7865,,6,Drugs primarily affecting the central nervous system:,1,specific
7866,2933.99.55,7,"Analgesics, antipyretics and nonhormonal anti-inflammatory agents",1,specific
7867,2933.99.55.10,8,Tolmetin,1,specific
7868,2933.99.55.20,8,Tolmetin sodium dihydrate,1,specific
7869,2933.99.55.30,8,Tolmetin sodium (anhydrous),1,specific
7870,2933.99.55.90,8,Other,0,Low
7871,,7,"Antidepressants, tranquilizers and other psychotherapeutic agents:",0,Low
7872,2933.99.58.00,8,Droperidol; andImipramine hydrochloride,1,specific
7873,2933.99.61.00,8,Other,0,Low
7874,2933.99.65.00,7,"Anticonvulsants, hypnotics and sedatives",1,specific
7875,2933.99.70.00,7,Other,0,Low
7876,2933.99.75.00,6,Other,0,Low
7877,,5,Other:,0,Low
7878,2933.99.79.00,6,Products described in additional U.S. note 3 to section VI,1,specific
7879,2933.99.82,6,Other,0,Low
7880,2933.99.82.10,7,Benzotriazole (CAS No. 95-14-7),1,specific
7881,2933.99.82.20,7,Tolyltriazole (CAS No. 29385-43-1),1,specific
7882,2933.99.82.90,7,Other,0,Low
7883,,3,Other:,0,Low
7884,2933.99.85.00,4,"3-Amino-1,2,4-triazole",1,specific
7885,2933.99.89.00,4,Hexamethyleneimine,1,specific
7886,,4,Other:,0,Low
7887,2933.99.90.00,5,Drugs,1,specific
7888,2933.99.97.01,5,Other,0,Low
7889,2934,0,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds:",0,Low
7890,2934.1,1,Compounds containing an unfused thiazole ring (whether or not hydrogenated) in the structure:,1,specific
7891,,2,Aromatic or modified aromatic:,1,specific
7892,2934.10.10.00,3,Products described in additional U.S. note 3 to section VI,1,specific
7893,2934.10.20.00,3,Other,0,Low
7894,,2,Other:,0,Low
7895,2934.10.70.00,3,"4,5-Dichloro-2-n-octyl-4-isothiazolin-3-one; Ethyl 2-(2-aminothiazol-4-yl)-2- hydroxyiminoacetate; Ethyl 2-(2-aminothiazol-4-yl)-2- methoxyiminoacetate; 2-Methyl-4-isothiazolin- 3-one; 2-n-Octyl-4-isothiazolin-3-one; and Thiothiamine hydrochloride",1,specific
7896,2934.10.90.00,3,Other,0,Low
7897,2934.2,1,"Compounds containing in the structure a benzothiazole ring-system (whether or not hydrogenated), not further fused:",1,specific
7898,2934.20.05.00,2,N-tert-Butyl-2-benzothiazolesulfenamide,1,specific
7899,2934.20.10.00,2,"2,2'-Dithiobisbenzothiazole",1,specific
7900,2934.20.15.00,2,2-Mercaptobenzothiazole; andN-(Oxydiethylene)benzothiazole-2-sulfenamide,1,specific
7901,2934.20.20.00,2,"2-Mercaptobenzothiazole, sodium salt (2-Benzothiazolethiol, sodium salt)",1,specific
7902,2934.20.25.00,2,"2-Amino-5,6-dichloro benzo thiazole; 2-(4-Amino phenyl)-6-methyl benzo thiazole-7- sulfonic acid; 2-Amino-6-nitro benzo thiazole; andN,N-Di cyclo hexyl-2-benzo thiazole sulfenamide",1,specific
7903,2934.20.30.00,2,2-Amino-6-methoxy benzo thiazole; 2-Amino-6-methyl benzo thiazole; 6-Ethoxy-2-benzo thiazo lethiol; 3-Methyl benzo thiazole-2-hydrazone; and Primuline base,1,specific
7904,,2,Other:,0,Low
7905,2934.20.35.00,3,Pesticides,1,specific
7906,,3,Other:,0,Low
7907,2934.20.40.00,4,Products described in additional U.S. note 3 to section VI,1,specific
7908,2934.20.80.00,4,Other,0,Low
7909,2934.3,1,"Compounds containing in the structure a phenothiazine ring-system (whether or not hydrogenated), not further fused:",1,specific
7910,2934.30.12.00,2,2-(Trifluoromethyl)phenothiazine,1,specific
7911,2934.30.18.00,2,"Ethyl (1H-phenothiazin-2,4,1)carbamate",1,specific
7912,,2,Other:,0,Low
7913,,3,Drugs:,1,specific
7914,2934.30.23.00,4,"Antidepressants, tranquilizers and other psychotherapeutic agents",0,Low
7915,2934.30.27.00,4,Other,0,Low
7916,,3,Other:,0,Low
7917,2934.30.43.00,4,Products described in additional U.S. note 3 to section VI,1,specific
7918,2934.30.50.00,4,Other,0,Low
7919,,1,Other:,0,Low
7920,2934.91.00.00,2,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); salts thereof",1,specific
7921,2934.92.00.00,2,Other fentanyls and their derivatives,0,Low
7922,2934.99,2,Other:,0,Low
7923,,3,Aromatic or modified aromatic:,1,specific
7924,2934.99.01.00,4,Mycophenolate mofetil,1,specific
7925,2934.99.03.00,4,"2-Acetylbenzo(b)thiophene; 3-Methylene-7-(2-phenoxyacetamido)- cephan-4-carboxylic acid, p-nitrobenzyl ester, 1-oxide; and Naphth[1,2-d]-[1,2,3]-oxadiazole-5-sulfonic acid and its sodium salt",1,specific
7926,2934.99.05.00,4,"5-Amino-3-phenyl-1,2,4-thiadiazole (3-Phenyl-5-amino-1,2,4-thiadiazole); 2-Hydroxybenzoxazole (Benzoxazolone); 4-Phenylmorpholine; 1,9-Thianthrenedicarboxylic acid; and Thioxanthene-9-one (Thioxanthone)",1,specific
7927,2934.99.06.00,4,"7-Nitronaphth[1,2]oxadiazole-5-sulfonic acid and its salts",1,specific
7928,2934.99.07.00,4,Ethyl 2-[4-[(6-chloro-2-benzoxazolyl)oxy]- phenoxy]propanoate (Fenoxaprop-ethyl),1,specific
7929,2934.99.08.00,4,"2,5-Diphenyloxazole",1,specific
7930,2934.99.09.00,4,"1,2-Benzisothiazolin-3-one",1,specific
7931,,4,Other:,0,Low
7932,,5,Pesticides:,1,specific
7933,2934.99.11.00,6,"2-tert-Butyl-4-(2,4-dichloro-5- isopropoxyphenyl)-Δ²-1,3,4- oxadiazolin-5-one; 3-Isopropyl-1H-2,1,3- benzothiadiazin-4-(3H)-one-2,2- dioxide (Bentazon); andO,O-Diethyl-S-[(6-chloro-2- oxobenzoxazolin-3-yl)methyl]- phosphorodithioate (Phosalone)",1,specific
7934,,6,Other:,0,Low
7935,2934.99.12.00,7,Fungicides,1,specific
7936,2934.99.15.00,7,Herbicides,1,specific
7937,2934.99.16.00,7,Insecticides,1,specific
7938,2934.99.18.00,7,Other,0,Low
7939,2934.99.20.00,5,Photographic chemicals,1,specific
7940,2934.99.30.00,5,Drugs,1,specific
7941,,5,Other:,0,Low
7942,2934.99.39.00,6,Products described in additional U.S. note 3 to section VI,1,specific
7943,2934.99.44.00,6,Other,0,Low
7944,,3,Other:,0,Low
7945,2934.99.47.00,4,Drugs,1,specific
7946,,4,Other:,0,Low
7947,2934.99.70.00,5,"Morpholinoethyl chloride hydrochloride; 2-Methyl-2,5-dioxo-1-oxa-2-phospholan; and (6R-trans)-7-Amino-3-methyl-8-oxo-5- thia-1-azabicyclo[4.2.0]-oct-2-ene-2- carboxylic acid",1,specific
7948,2934.99.90.01,5,Other,0,Low
7949,2935,0,Sulfonamides:,1,specific
7950,2935.10.00.00,1,N-Methyl perfluorooctane sulfonamide,1,specific
7951,2935.20.00.00,1,N-Ethyl perfluorooctane sulfonamide,1,specific
7952,2935.30.00.00,1,N-Ethyl -N-(2-hydroxyethyl)perfluorooctane sulfonamide,1,specific
7953,2935.40.00.00,1,N-(2-hydroxyethyl)-N-methyl perfluorooctane sulfonamide,1,specific
7954,2935.50.00.00,1,Other perfluorooctane sulfonamides,0,Low
7955,2935.9,1,Other:,0,Low
7956,2935.90.06.00,2,4-Amino-6-chloro-m-benzenedisulfonamide and Methyl-4-aminobenzenesulfonylcarbamate (Asulam),1,specific
7957,2935.90.10.00,2,"2-Amino-N-ethylbenzenesulfonanilide; 5-Amino-α,α,α-trifluorotoluene-2,4-disulfonamide; Benzenesulfonamide; Benzenesulfonyl hydrazide; 2-Chloro-4-amino-5-hydroxybenzenesulfonamide; 2,5-Dimethoxysulfanilanilide; and Metanilamide",1,specific
7958,2935.90.13.00,2,"(5‐[2‐Chloro‐4‐ (trifluoromethyl)phenoxy]‐N‐ (methylsulfonyl)‐2‐nitrobenzamide) (Fomesafen); N‐(2,6‐Dichloro‐3‐ methylphenyl)‐5‐ amino‐1,3,4‐triazole‐2‐sulfonamide; 2,4‐Dichloro‐5‐ sulfamoylbenzoic acid; N‐Ethyl‐o‐ toluenesulfonamide; N‐Ethyl‐p‐toluenesulfonamide; 7-(Hexadecylsulfonylamino) ‐1H‐indole; Methyl 5‐{[(4,6‐dimethoxy‐2‐pyrimidinyl)amino]‐ carbonylaminosulfonyl} ‐3‐chloro‐1‐methyl‐1H‐pyrazole‐4‐carboxylate (Halosulfuron methyl); and Mixtures of ortho‐ and para-toluenesulfonamides",1,specific
7959,2935.90.15.00,2,o-Toluenesulfonamide,1,specific
7960,,2,Other:,0,Low
7961,2935.90.20.00,3,Fast color bases and fast color salts,1,specific
7962,,3,Drugs:,1,specific
7963,,4,Anti-infective agents:,1,specific
7964,2935.90.29.00,5,Acetylsulfaguanidine,1,specific
7965,2935.90.30.00,5,Sulfamethazine,1,specific
7966,2935.90.32.00,5,"Acetylsulfisoxazole; Sulfacetamide, sodium; and Sulfamethazine, sodium",1,specific
7967,2935.90.33.00,5,"Sulfathiazole and Sulfathiazole, sodium",1,specific
7968,2935.90.42.00,5,Salicylazosulfapyridine (Sulfasalazine); Sulfadiazine; Sulfaguanidine; Sulfamerizine; and Sulfapyridine,1,specific
7969,2935.90.48.00,5,Other,0,Low
7970,2935.90.60.00,4,Other,0,Low
7971,,3,Other:,0,Low
7972,2935.90.75.00,4,Products described in additional U.S. note 3 to section VI,1,specific
7973,2935.90.95.00,4,Other,0,Low
7974,,1,"XI. PROVITAMINS, VITAMINS AND HORMONES",1,specific
7975,2936,0,"Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent:",1,specific
7976,,1,"Vitamins and their derivatives, unmixed:",1,specific
7977,2936.21.00.00,2,Vitamins A and their derivatives,1,specific
7978,2936.22.00.00,2,Vitamin B1 (Thiamine) and its derivatives,1,specific
7979,2936.23.00.00,2,Vitamin B2 (Riboflavin) and its derivatives,1,specific
7980,2936.24.01.00,2,D- or DL-Pantothenic acid (Vitamin B5) and its derivatives,1,specific
7981,2936.25.00.00,2,Vitamin B6 (Pyridoxine and related compounds with Vitamin B6 activity) and its derivatives,1,specific
7982,2936.26.00.00,2,Vitamin B12 (Cyanocobalamin and related compounds with Vitamin B12 activity) and its derivatives,1,specific
7983,2936.27.00.00,2,Vitamin C (Ascorbic acid) and its derivatives,1,specific
7984,2936.28.00.00,2,Vitamin E (Tocopherols and related compounds with Vitamin E activity) and its derivatives,1,specific
7985,2936.29,2,Other vitamins and their derivatives:,0,Low
7986,2936.29.10.00,3,Folic acid,1,specific
7987,2936.29.16,3,Niacin and niacinamide,1,specific
7988,,4,Niacin:,1,specific
7989,2936.29.16.10,5,Pharmaceutical grade,1,specific
7990,2936.29.16.20,5,Other,0,Low
7991,2936.29.16.30,4,Niacinamide,1,specific
7992,,3,Other:,0,Low
7993,2936.29.20.00,4,Aromatic or modified aromatic,1,specific
7994,2936.29.50,4,Other,0,Low
7995,2936.29.50.20,5,Vitamins D and their derivatives,1,specific
7996,2936.29.50.30,5,Biotin,1,specific
7997,2936.29.50.50,5,Other,0,Low
7998,2936.90.01,1,"Other, including provitamins and natural concentrates",0,Low
7999,2936.90.01.10,2,Provitamins,1,specific
8000,2936.90.01.50,2,Other,0,Low
8001,2937,0,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones:",1,specific
8002,,1,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues:",1,specific
8003,2937.11.00.00,2,"Somatotropin, its derivatives and structural analogues",1,specific
8004,2937.12.00.00,2,Insulin and its salts,1,specific
8005,2937.19.00.00,2,Other,0,Low
8006,,1,"Steroidal hormones, their derivatives and structural analogues:",1,specific
8007,2937.21.00,2,"Cortisone, hydrocortisone, prednisone (dehydrocortisone), and prednisolone (dehydrohydrocortisone)",1,specific
8008,2937.21.00.10,3,Cortisone,1,specific
8009,2937.21.00.20,3,Hydrocortisone,1,specific
8010,2937.21.00.30,3,Prednisone,1,specific
8011,2937.21.00.40,3,Prednisolone,1,specific
8012,2937.22.00.00,2,Halogenated derivatives of adrenal cortical hormones,1,specific
8013,2937.23,2,Estrogens and progestins:,1,specific
8014,2937.23.10,3,Obtained directly or indirectly from animal or vegetable materials,1,specific
8015,2937.23.10.10,4,Estrogens,1,specific
8016,,4,Other:,0,Low
8017,2937.23.10.20,5,Progesterone,1,specific
8018,2937.23.10.50,5,Other,0,Low
8019,,3,Other:,0,Low
8020,2937.23.25.00,4,Estradiol benzoate; andEstradiol cyclopentylpropionate (Estradiol cypionate),1,specific
8021,2937.23.50,4,Other,0,Low
8022,2937.23.50.10,5,Estrogens,1,specific
8023,,5,Other:,0,Low
8024,2937.23.50.20,6,Progesterone,1,specific
8025,2937.23.50.50,6,Other,0,Low
8026,2937.29,2,Other:,0,Low
8027,2937.29.10.00,3,Desonide; andNandrolone phenproprionate,1,specific
8028,2937.29.90,3,Other,0,Low
8029,2937.29.90.20,4,Salts and esters of hydrocortisone,1,specific
8030,2937.29.90.30,4,Salts and esters of prednisone,1,specific
8031,2937.29.90.40,4,Salts and esters of prednisolone,1,specific
8032,2937.29.90.50,4,Anabolic agents and androgens,1,specific
8033,2937.29.90.95,4,Other,0,Low
8034,2937.50.00.00,1,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",1,specific
8035,2937.9,1,Other:,0,Low
8036,,2,"Catecholamine hormones, their derivatives and structural analogues:",1,specific
8037,2937.90.05.00,3,Epinephrine,1,specific
8038,,3,Other:,0,Low
8039,2937.90.10.00,4,Epinephrine hydrochloride,1,specific
8040,2937.90.20.00,4,Other,0,Low
8041,,2,Amino-acid derivatives:,1,specific
8042,2937.90.40.00,3,"l-Thyroxine (Levothyroxine), sodium",1,specific
8043,2937.90.45.00,3,Other,0,Low
8044,2937.90.90.00,2,Other,0,Low
8045,,1,"XII. GLYCOSIDES AND  ALKALOIDS, NATURAL OR REPRODUCED BY SYNTHESIS, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",0,Low
8046,2938,0,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives:",0,Low
8047,2938.10.00.00,1,Rutoside (Rutin) and its derivatives,1,specific
8048,2938.90.00.00,1,Other,0,Low
8049,2939,0,"Alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives:",0,Low
8050,,1,Alkaloids of opium and their derivatives; salts thereof:,1,specific
8051,2939.11.00.00,2,"Concentrates of poppy straw; buprenorphine (INN); codeine, dihydrocodeine (INN), ethylmorphine, etorphine (INN), heroin, hydrocodone (INN), hydromorphone (INN), morphine, nicomorphine (INN), oxycodone (INN), oxymorphone (INN), pholcodine (INN), thebacon (INN) and thebaine; salts thereof",1,specific
8052,2939.19,2,Other:,0,Low
8053,2939.19.10.00,3,Papaverine and its salts,1,specific
8054,,3,Other:,0,Low
8055,2939.19.20.00,4,Synthetic,1,specific
8056,2939.19.50.00,4,Other,0,Low
8057,2939.20.00,1,Alkaloids of cinchona and their derivatives; salts thereof,1,specific
8058,2939.20.00.10,2,Quinine and its salts,1,specific
8059,2939.20.00.50,2,Other,0,Low
8060,2939.30.00.00,1,Caffeine and its salts,1,specific
8061,,1,Alkaloids of ephedra and their derivatives; salts thereof:,1,specific
8062,2939.41.00.00,2,Ephedrine and its salts,1,specific
8063,2939.42.00.00,2,Pseudoephedrine (INN) and its salts,1,specific
8064,2939.43.00.00,2,Cathine (INN) and its salts,1,specific
8065,2939.44.00.00,2,Norephedrine and its salts,1,specific
8066,2939.45.00.00,2,"Levometamfetamine, metamfetamine (INN), metamfetamine racemate and their salts",1,specific
8067,2939.49.03.00,2,Other,0,Low
8068,,1,Theophylline and aminophylline (theophylline- ethylenediamine) and their derivatives; salts thereof:,1,specific
8069,2939.51.00.00,2,Fenetylline (INN) and its salts,1,specific
8070,2939.59.00.00,2,Other,0,Low
8071,,1,Alkaloids of rye ergot and their derivatives; salts thereof:,1,specific
8072,2939.61.00.00,2,Ergometrine and its salts,1,specific
8073,2939.62.00.00,2,Ergotamine and its salts,1,specific
8074,2939.63.00.00,2,Lysergic acid and its salts,1,specific
8075,2939.69.00.00,2,Other,0,Low
8076,,1,"Other, of vegetal origin:",0,Low
8077,2939.72.00.00,2,"Cocaine, ecgonine; salts, esters and other derivatives thereof",0,Low
8078,2939.79.00.00,2,Other,0,Low
8079,2939.80.00.00,1,Other,0,Low
8080,,1,XIII. OTHER ORGANIC COMPOUNDS,0,Low
